"time_period","avg_price","avg_demand","count","time","diff"
"evening","11.908250944028305","0.2489143443096476","45","1751867904994","-1"
"morning","11.088996627160011","0.13889052408035735","142","1751867904994","-1"
"afternoon","11.69460356191443","0.217402005309726","361","1751867904994","-1"
"afternoon","11.69688497331937","0.21803568333745982","476","1751867904994","1"
"evening","11.886089212448727","0.24558297023938472","64","1751867904994","1"
"morning","11.065629097103633","0.13593724254813905","181","1751867904994","1"
"evening","11.886089212448727","0.24558297023938472","64","1751867905050","-1"
"morning","11.065629097103633","0.13593724254813905","181","1751867905050","-1"
"afternoon","11.69688497331937","0.21803568333745982","476","1751867905050","-1"
"afternoon","11.692820142035654","0.21745010760860306","488","1751867905050","1"
"morning","11.057314053883555","0.13482384859323723","188","1751867905050","1"
"evening","11.888759576397993","0.2458568304226103","65","1751867905050","1"
"evening","11.888759576397993","0.2458568304226103","65","1751867906136","-1"
"morning","11.057314053883555","0.13482384859323723","188","1751867906136","-1"
"afternoon","11.692820142035654","0.21745010760860306","488","1751867906136","-1"
"afternoon","11.667155053543166","0.21414110540739895","578","1751867906136","1"
"evening","11.878971840224443","0.2446184820532701","76","1751867906136","1"
"morning","11.028365909313052","0.13096905378976997","218","1751867906136","1"
"evening","11.878971840224443","0.2446184820532701","76","1751867906916","-1"
"morning","11.028365909313052","0.13096905378976997","218","1751867906916","-1"
"afternoon","11.667155053543166","0.21414110540739895","578","1751867906916","-1"
"afternoon","11.722220032818266","0.22173800201125443","648","1751867906916","1"
"morning","11.024993370081225","0.13060491857284046","242","1751867906916","1"
"evening","11.89969633895781","0.24744732514591922","87","1751867906916","1"
"morning","11.024993370081225","0.13060491857284046","242","1751867908014","-1"
"evening","11.89969633895781","0.24744732514591922","87","1751867908014","-1"
"afternoon","11.722220032818266","0.22173800201125443","648","1751867908014","-1"
"afternoon","11.707528250959236","0.2197778023494233","721","1751867908014","1"
"evening","11.845898767704723","0.24005232405438723","97","1751867908014","1"
"morning","11.035494348418343","0.1321327064849065","268","1751867908014","1"
"evening","11.845898767704723","0.24005232405438723","97","1751867908812","-1"
"morning","11.035494348418343","0.1321327064849065","268","1751867908812","-1"
"afternoon","11.707528250959236","0.2197778023494233","721","1751867908812","-1"
"afternoon","11.707063241360926","0.21974705361798635","801","1751867908812","1"
"evening","11.816643416802375","0.23627946607119052","104","1751867908812","1"
"morning","11.012130849802672","0.12902328309087405","297","1751867908812","1"
"evening","11.816643416802375","0.23627946607119052","104","1751867909596","-1"
"morning","11.012130849802672","0.12902328309087405","297","1751867909596","-1"
"afternoon","11.707063241360926","0.21974705361798635","801","1751867909596","-1"
"afternoon","11.713793339446083","0.22062591165955886","879","1751867909596","1"
"evening","11.784490410557211","0.23173115960975316","116","1751867909596","1"
"morning","11.00780041861487","0.1284070664567565","330","1751867909596","1"
"morning","11.00780041861487","0.1284070664567565","330","1751867910476","-1"
"evening","11.784490410557211","0.23173115960975316","116","1751867910476","-1"
"afternoon","11.713793339446083","0.22062591165955886","879","1751867910476","-1"
"afternoon","11.806125964005652","0.23315885194356586","957","1751867910476","1"
"morning","11.092893024527012","0.13953091153050579","361","1751867910476","1"
"evening","11.902024262294837","0.24783336799905192","128","1751867910476","1"
"morning","11.092893024527012","0.13953091153050579","361","1751867912634","-1"
"evening","11.902024262294837","0.24783336799905192","128","1751867912634","-1"
"afternoon","11.806125964005652","0.23315885194356586","957","1751867912634","-1"
"afternoon","11.984167681112627","0.25766375795258184","1120","1751867912634","1"
