"vehicle_type","avg_price","avg_demand","count","time","diff"
"Bike","12.331563749269556","0.3063924094929914","1156","1751867945028","-1"
"Truck","12.798511801262478","0.3728650333852384","603","1751867945028","-1"
"Car","12.460630448158694","0.3243042607676698","4062","1751867945028","-1"
"Car","12.45036046585354","0.32279502075619226","4203","1751867945028","1"
"Bike","12.330051322072304","0.3061588309923705","1193","1751867945028","1"
"Truck","12.781563523291938","0.3702877148767448","625","1751867945028","1"
"Bike","12.330051322072304","0.3061588309923705","1193","1751867946498","-1"
"Truck","12.781563523291938","0.3702877148767448","625","1751867946498","-1"
"Car","12.45036046585354","0.32279502075619226","4203","1751867946498","-1"
"Car","12.442322974202833","0.32159481770803316","4358","1751867946498","1"
"Bike","12.323239529872536","0.3051934042132721","1228","1751867946498","1"
"Truck","12.775447617621367","0.36938071411936485","642","1751867946498","1"
"Bike","12.323239529872536","0.3051934042132721","1228","1751867948500","-1"
"Truck","12.775447617621367","0.36938071411936485","642","1751867948500","-1"
"Car","12.442322974202833","0.32159481770803316","4358","1751867948500","-1"
"Car","12.438255748068965","0.32090152421692086","4559","1751867948500","1"
"Bike","12.316260890166054","0.3040583940642217","1296","1751867948500","1"
"Truck","12.761078901010405","0.36717502743630337","673","1751867948500","1"
"Truck","12.761078901010405","0.36717502743630337","673","1751867950522","-1"
"Bike","12.316260890166054","0.3040583940642217","1296","1751867950522","-1"
"Car","12.438255748068965","0.32090152421692086","4559","1751867950522","-1"
"Car","12.442808760759185","0.3213355039692623","4765","1751867950522","1"
"Truck","12.766055311384639","0.3677335642325296","695","1751867950522","1"
"Bike","12.32058567947401","0.30444316081465334","1361","1751867950522","1"
"Truck","12.766055311384639","0.3677335642325296","695","1751867951776","-1"
"Bike","12.32058567947401","0.30444316081465334","1361","1751867951776","-1"
"Car","12.442808760759185","0.3213355039692623","4765","1751867951776","-1"
"Car","12.45074498700949","0.32234432491028253","4885","1751867951776","1"
"Truck","12.774584378287525","0.368808851559925","713","1751867951776","1"
"Bike","12.326184163395952","0.30507911166130935","1402","1751867951776","1"
"Truck","12.774584378287525","0.368808851559925","713","1751867953452","-1"
"Bike","12.326184163395952","0.30507911166130935","1402","1751867953452","-1"
"Car","12.45074498700949","0.32234432491028253","4885","1751867953452","-1"
"Car","12.455057804749671","0.3229417127766396","4996","1751867953452","1"
"Truck","12.780119802542416","0.3696811558293208","734","1751867953452","1"
"Bike","12.328536965221572","0.30535543458368875","1444","1751867953452","1"
"Bike","12.328536965221572","0.30535543458368875","1444","1751867954742","-1"
"Truck","12.780119802542416","0.3696811558293208","734","1751867954742","-1"
"Car","12.455057804749671","0.3229417127766396","4996","1751867954742","-1"
"Car","12.461489423010038","0.3237774024364534","5122","1751867954742","1"
"Truck","12.77881797535848","0.3693917061681457","748","1751867954742","1"
"Bike","12.331320832121188","0.305668936916912","1476","1751867954742","1"
"Truck","12.77881797535848","0.3693917061681457","748","1751867956256","-1"
"Bike","12.331320832121188","0.305668936916912","1476","1751867956256","-1"
"Car","12.461489423010038","0.3237774024364534","5122","1751867956256","-1"
"Car","12.461844392490116","0.3237535152297031","5277","1751867956256","1"
"Truck","12.789803087163701","0.37094575119833323","772","1751867956256","1"
"Bike","12.341800214203655","0.3071241786414397","1512","1751867956256","1"
"Bike","12.341800214203655","0.3071241786414397","1512","1751867957738","-1"
"Truck","12.789803087163701","0.37094575119833323","772","1751867957738","-1"
"Car","12.461844392490116","0.3237535152297031","5277","1751867957738","-1"
"Car","12.462665300201577","0.32383573597778464","5405","1751867957738","1"
"Bike","12.337414653834161","0.30649186060498806","1559","1751867957738","1"
"Truck","12.78722449597869","0.3705075721680476","785","1751867957738","1"
"Bike","12.337414653834161","0.30649186060498806","1559","1751867959058","-1"
"Truck","12.78722449597869","0.3705075721680476","785","1751867959058","-1"
"Car","12.462665300201577","0.32383573597778464","5405","1751867959058","-1"
"Car","12.462682392051736","0.32375834967887124","5530","1751867959058","1"
"Truck","12.786253557725653","0.37027960676909966","803","1751867959058","1"
"Bike","12.33751778636898","0.306426963325356","1598","1751867959058","1"
"Bike","12.33751778636898","0.306426963325356","1598","1751867961610","-1"
"Truck","12.786253557725653","0.37027960676909966","803","1751867961610","-1"
"Car","12.462682392051736","0.32375834967887124","5530","1751867961610","-1"
"Car","12.458575380825202","0.3231356859691695","5728","1751867961610","1"
"Bike","12.324812528089723","0.30466661771456044","1649","1751867961610","1"
"Truck","12.772543760813507","0.36828761978987257","839","1751867961610","1"
"Truck","12.772543760813507","0.36828761978987257","839","1751867963886","-1"
"Bike","12.324812528089723","0.30466661771456044","1649","1751867963886","-1"
"Car","12.458575380825202","0.3231356859691695","5728","1751867963886","-1"
"Car","12.467703576703682","0.32457115707931433","5993","1751867963886","1"
"Truck","12.783392698981292","0.36990492356553656","886","1751867963886","1"
"Bike","12.344373069211409","0.30761020612815154","1724","1751867963886","1"
"Truck","12.783392698981292","0.36990492356553656","886","1751867965258","-1"
"Bike","12.344373069211409","0.30761020612815154","1724","1751867965258","-1"
"Car","12.467703576703682","0.32457115707931433","5993","1751867965258","-1"
"Car","12.474862135403255","0.3255774397841184","6114","1751867965258","1"
"Bike","12.342191205254048","0.3073186403610077","1764","1751867965258","1"
"Truck","12.793863580342908","0.3715110302853044","906","1751867965258","1"
"Truck","12.793863580342908","0.3715110302853044","906","1751867966620","-1"
"Bike","12.342191205254048","0.3073186403610077","1764","1751867966620","-1"
"Car","12.474862135403255","0.3255774397841184","6114","1751867966620","-1"
"Car","12.482309290763444","0.32668430943464044","6228","1751867966620","1"
"Bike","12.339715143614287","0.30700995725710645","1797","1751867966620","1"
"Truck","12.796246097806613","0.3717912019101372","920","1751867966620","1"
"Truck","12.796246097806613","0.3717912019101372","920","1751867968064","-1"
"Bike","12.339715143614287","0.30700995725710645","1797","1751867968064","-1"
"Car","12.482309290763444","0.32668430943464044","6228","1751867968064","-1"
"Car","12.482243260790376","0.3266237577099378","6369","1751867968064","1"
"Bike","12.338878687652183","0.30687312427579994","1835","1751867968064","1"
"Truck","12.798108434835592","0.37197118440801447","938","1751867968064","1"
"Truck","12.798108434835592","0.37197118440801447","938","1751867969804","-1"
"Bike","12.338878687652183","0.30687312427579994","1835","1751867969804","-1"
"Car","12.482243260790376","0.3266237577099378","6369","1751867969804","-1"
"Car","12.478862170284938","0.3260335493920638","6552","1751867969804","1"
"Bike","12.33673716309986","0.3064352418829693","1903","1751867969804","1"
"Truck","12.798817342046776","0.3719265120743306","963","1751867969804","1"
"Bike","12.33673716309986","0.3064352418829693","1903","1751867971726","-1"
