"day_category","avg_price","avg_demand","count","time","diff"
"weekday","12.23118887106422","0.29282069728004473","2098","1751867922924","-1"
"weekend","12.520483911803394","0.3361546791564872","792","1751867922924","-1"
"weekend","12.476106326466693","0.32984909810671914","828","1751867922924","1"
"weekday","12.265705056087143","0.29745089425383403","2205","1751867922924","1"
"weekday","12.265705056087143","0.29745089425383403","2205","1751867923822","-1"
"weekend","12.476106326466693","0.32984909810671914","828","1751867923822","-1"
"weekend","12.42899238109579","0.32325713041570825","864","1751867923822","1"
"weekday","12.31846135200701","0.30520706171783835","2297","1751867923822","1"
"weekday","12.31846135200701","0.30520706171783835","2297","1751867924848","-1"
"weekend","12.42899238109579","0.32325713041570825","864","1751867924848","-1"
"weekend","12.387191238224425","0.31717036718133845","920","1751867924848","1"
"weekday","12.339763700629495","0.3079829802901817","2390","1751867924848","1"
"weekday","12.339763700629495","0.3079829802901817","2390","1751867925842","-1"
"weekend","12.387191238224425","0.31717036718133845","920","1751867925842","-1"
"weekend","12.354112079311456","0.31244652022538333","963","1751867925842","1"
"weekday","12.371746397096263","0.31252415859639743","2480","1751867925842","1"
"weekday","12.371746397096263","0.31252415859639743","2480","1751867927366","-1"
"weekend","12.354112079311456","0.31244652022538333","963","1751867927366","-1"
"weekend","12.331842622027127","0.30915752230920884","1008","1751867927366","1"
"weekday","12.406749028302462","0.3174146249258372","2619","1751867927366","1"
"weekday","12.406749028302462","0.3174146249258372","2619","1751867928342","-1"
"weekend","12.331842622027127","0.30915752230920884","1008","1751867928342","-1"
"weekend","12.32608470755545","0.3083489188996828","1014","1751867928342","1"
"weekday","12.438963922387682","0.32195178279300624","2750","1751867928342","1"
"weekday","12.438963922387682","0.32195178279300624","2750","1751867929316","-1"
"weekend","12.32608470755545","0.3083489188996828","1014","1751867929316","-1"
"weekend","12.297522561213864","0.30418206326882585","1065","1751867929316","1"
"weekday","12.448476083975962","0.32312608276727744","2838","1751867929316","1"
"weekday","12.448476083975962","0.32312608276727744","2838","1751867930300","-1"
"weekend","12.297522561213864","0.30418206326882585","1065","1751867930300","-1"
"weekday","12.460992187728463","0.32472143400175557","2928","1751867930300","1"
"weekend","12.316690273646852","0.30672227509949973","1112","1751867930300","1"
"weekday","12.460992187728463","0.32472143400175557","2928","1751867931322","-1"
"weekend","12.316690273646852","0.30672227509949973","1112","1751867931322","-1"
"weekday","12.46735513298873","0.3254183295292499","3032","1751867931322","1"
"weekend","12.33723267514435","0.3094136382060846","1152","1751867931322","1"
"weekday","12.46735513298873","0.3254183295292499","3032","1751867932540","-1"
"weekend","12.33723267514435","0.3094136382060846","1152","1751867932540","-1"
"weekday","12.478628646615663","0.3267838802971215","3162","1751867932540","1"
"weekend","12.365884590556355","0.3131060624879889","1221","1751867932540","1"
"weekday","12.478628646615663","0.3267838802971215","3162","1751867934424","-1"
"weekend","12.365884590556355","0.3131060624879889","1221","1751867934424","-1"
"weekday","12.518455581670906","0.3324608565926052","3369","1751867934424","1"
"weekend","12.384875482233372","0.31551807706795987","1296","1751867934424","1"
"weekday","12.518455581670906","0.3324608565926052","3369","1751867936356","-1"
"weekend","12.384875482233372","0.31551807706795987","1296","1751867936356","-1"
